,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
525,KROT11,40.0,-19.29,0.92,1.787,0.0,0.428,8.98,8.84,-1.42,13.78,8.88,0.2021,-0.09480000000000001,1.33,0.055,-0.04769999999999999,0.0,11648400000.0,0.67,-0.015300000000000001
526,KROT4,5.12,-17.29,0.82,1.601,0.0,0.384,8.04,7.92,-1.27,12.86,8.29,0.2021,-0.09480000000000001,1.33,0.055,-0.04769999999999999,0.0,11648400000.0,0.67,-0.015300000000000001
527,KRSA3,0.54,-2.89,0.44,0.184,0.0,0.088,0.7,1.38,-0.18,9.85,6.36,0.1333,-0.059500000000000004,1.74,0.0738,-0.1507,996611.0,959728000.0,2.9,0.22089999999999999
528,KSSA3,5.33,14.66,1.4,0.916,0.0,0.406,1.72,5.62,6.73,12.3,12.3,0.1631,0.0842,1.47,0.0767,0.0958,0.0,553026000.0,1.8,0.4068
529,LAME3,6.62,21.22,1.91,0.481,0.0,0.285,1.2,7.4,-4.37,11.32,5.49,0.06509999999999999,0.025099999999999997,1.72,0.0653,0.0902,0.0,6514640000.0,2.54,0.09720000000000001
530,LAME4,6.55,20.99,1.89,0.476,0.0,0.282,1.19,7.32,-4.32,11.24,5.46,0.06509999999999999,0.025099999999999997,1.72,0.0653,0.0902,0.0,6514640000.0,2.54,0.09720000000000001
531,LAND3,15.62,44.92,2.09,18.096,0.005600000000000001,1.564,-60.23,29.24,-8.1,31.52,29.35,0.6189,0.4029,0.69,0.0537,0.0464,829353.0,720843000.0,0.17,-0.0382
532,LATM11,28.65,-0.68,0.02,0.006,0.0,0.003,-0.02,0.05,0.0,7.74,7.74,0.11460000000000001,-0.0039000000000000003,0.49,0.0655,-0.023700000000000002,0.0,11357000000.0,2.92,0.16690000000000002
533,LATS3,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,1.27,0.1174,0.013000000000000001,1.67,0.11630000000000001,0.0184,0.0,680646000.0,0.39,0.1537
534,LAVV3,8.04,5.82,1.21,1.558,0.0799,0.635,0.94,6.99,1.56,6.68,6.65,0.223,0.2804,5.47,0.11689999999999999,0.20879999999999999,6382880.0,1321070000.0,0.34,0.31980000000000003
535,LCAM3,24.15,0.0,3.45,0.0,0.0,2.984,14.8,0.0,23.76,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,17622700000.0,0.04,0.2348
536,LCSA3,12.5,-120.23,-81.22,28.405,0.0,44.638,-72.05,-180.18,-34.41,-180.95,-180.95,-0.1577,-0.23629999999999998,0.29,-0.2874,0.6755,0.0,-377568000.0,-0.35,63.540699999999994
537,LCSA4,35.09,-337.52,-228.0,79.738,0.0,125.308,-202.27,-505.8,-96.61,-506.56,-506.56,-0.1577,-0.23629999999999998,0.29,-0.2874,0.6755,0.0,-377568000.0,-0.35,63.540699999999994
538,LECO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-0.021400000000000002,-0.0472,0.82,-0.0348,-0.1482,0.0,105928000.0,0.2,0.0358
539,LECO4,1.46,-13.48,2.0,0.637,0.0,0.924,-16.84,-29.69,-3.16,-32.69,-32.69,-0.021400000000000002,-0.0472,0.82,-0.0348,-0.1482,0.0,105928000.0,0.2,0.0358
540,LETO3,0.8,-0.32,-0.05,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1705,0.0,-58642000.0,0.0,-0.17379999999999998
541,LETO5,2.06,-0.83,-0.14,0.0,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1705,0.0,-58642000.0,0.0,-0.17379999999999998
542,LEVE3,31.01,5.51,3.79,0.969,0.2482,1.347,5.27,5.19,-98.6,5.79,5.15,0.1867,0.1757,1.68,0.3532,0.6884,13253400.0,1107580000.0,0.82,0.175
543,LEVE4,44.49,7.91,5.44,1.39,0.0,1.932,7.56,7.44,-141.46,8.05,7.15,0.1867,0.1757,1.68,0.3532,0.6884,0.0,1107580000.0,0.82,0.175
544,LFFE3,3.11,-3.92,3.26,0.0,0.0,2.877,0.0,-21.18,0.0,-17.8,8.39,0.0,0.0,0.0,0.0,-0.831,0.0,51892000.0,0.0,0.0
545,LFFE4,3.89,-4.91,4.08,0.0,0.0,3.599,0.0,-26.5,0.0,-23.11,10.9,0.0,0.0,0.0,0.0,-0.831,0.0,51892000.0,0.0,0.0
546,LGLO4,100.0,-1.05,0.65,0.225,0.0,0.192,-0.32,-1.24,-0.32,-2.13,-2.13,-0.18100000000000002,-0.2147,0.14,-0.1837,-0.6251,0.0,5191000.0,0.49,-0.1142
547,LIGH3,16.66,-10.92,10.84,0.509,0.0,0.33,-0.67,8.54,-0.42,19.69,10.42,0.059699999999999996,-0.0466,0.27,0.044000000000000004,-0.9926,0.0,603935000.0,15.52,0.0174
548,LIGT3,5.07,-9.02,0.69,0.137,0.0,0.079,-0.19,1.35,-0.12,7.52,4.77,0.1011,-0.0151,0.37,0.0708,-0.0764,6679900.0,2739050000.0,4.03,0.0079
549,LINX3,37.4,-90.95,4.38,7.885,0.0152,2.745,11.96,53.17,47.06,51.49,22.97,0.1483,-0.0867,2.14,0.0682,-0.0481,0.0,1619010000.0,0.22,0.15539999999999998
550,LIPR3,48.8,32.69,2.59,0.0,0.008,2.47,8.21,-73.72,8.75,-65.63,-65.62,0.0,0.0,12.53,-0.046,0.0791,1144.3,222022000.0,0.0,0.0
551,LIXC3,1.75,-2.62,1.52,395.995,0.0,0.069,0.28,-4.21,3.84,-6.37,-6.68,-94.1321,-143.868,1.34,-0.019,-0.5785,0.0,13842000.0,0.79,-0.759
552,LIXC4,1.45,-2.17,1.26,328.11,0.0,0.057,0.23,-3.49,3.18,-5.65,-5.92,-94.1321,-143.868,1.34,-0.019,-0.5785,0.0,13842000.0,0.79,-0.759
553,LJQQ3,3.82,7.77,1.2,0.307,0.0424,0.228,0.89,13.2,-1.31,16.24,5.03,0.0233,0.039599999999999996,1.67,0.0217,0.15460000000000002,18216500.0,620719000.0,0.85,0.114
554,LOGG3,22.89,10.64,0.62,11.298,0.0305,0.369,7.67,16.0,-1.29,28.11,27.32,0.7059000000000001,1.0685,1.67,0.024,0.058600000000000006,5410670.0,3754330000.0,0.52,0.1528
555,LOGN3,35.0,125.15,3.95,1.566,0.0,1.034,11.07,16.6,-2.33,21.38,10.51,0.0943,0.0125,1.47,0.0747,0.0315,942727.0,951618000.0,1.69,0.2525
556,LPSB3,1.79,12.31,1.23,1.486,0.0227,0.657,6.72,6.81,-3.4,5.0,3.43,0.2181,0.1959,1.53,0.1197,0.1002,235936.0,214201000.0,0.0,0.0361
557,LREN3,12.53,11.29,1.19,0.876,0.054400000000000004,0.634,2.83,4.25,6.43,3.89,2.78,0.2061,0.0776,1.65,0.1865,0.1058,247942000.0,10099800000.0,0.14,0.14429999999999998
558,LREN4,105.0,0.09,0.01,0.007,0.0,0.005,0.02,0.04,0.05,-0.32,-0.23,0.2061,0.0776,1.65,0.1865,0.1058,0.0,10099800000.0,0.14,0.14429999999999998
559,LUPA3,1.55,1.16,0.42,0.644,0.0,0.131,1.53,-4.47,-0.36,-14.35,-63.9,-0.1441,0.5539999999999999,1.36,-0.0313,0.35850000000000004,512673.0,154345000.0,1.02,0.5815
560,LUXM3,10.0,11.04,1.66,1.493,0.0,1.212,-81.67,8.34,-8.06,8.12,5.25,0.179,0.1352,0.89,0.1572,0.1505,0.0,125057000.0,0.02,0.0604
561,LUXM4,13.99,15.45,2.33,2.088,0.0159,1.696,-114.25,11.67,-11.27,11.45,7.4,0.179,0.1352,0.89,0.1572,0.1505,975.79,125057000.0,0.02,0.0604
562,LVTC3,3.42,-296.05,0.35,0.255,0.0,0.157,0.65,1.21,-1.22,0.69,0.33,0.21030000000000001,-0.0009,2.37,0.1539,-0.0012,87224.8,640698000.0,0.0,-0.1054
563,LWSA3,3.99,-42.15,0.82,1.817,0.0,0.511,4.59,28.05,10.05,15.66,6.47,0.06480000000000001,-0.0431,1.35,0.024300000000000002,-0.0195,38560700.0,2899830000.0,0.03,0.3674
564,MAGG3,59.4,-119.98,1.32,0.684,0.0,0.44,9.32,4.07,-1.55,6.41,5.34,0.16820000000000002,-0.005699999999999999,1.14,0.1405,-0.011000000000000001,0.0,2246130000.0,1.03,0.09269999999999999
565,MAGS3,62.45,24.49,3.13,2.217,0.0,2.12,4.9,15.02,6.65,14.19,14.19,0.1476,0.0891,3.06,0.18739999999999998,0.1278,0.0,848546000.0,0.13,0.1005
566,MAPT3,4.21,-27.25,-0.61,0.0,0.0,5.005,-92.12,-31.46,-0.55,-31.46,-31.46,0.0,0.0,0.0,-0.1591,0.0225,3100.79,-6313000.0,0.0,0.0
567,MAPT4,5.6,-36.24,-0.82,0.0,0.0,6.658,-122.53,-41.84,-0.73,-41.84,-41.84,0.0,0.0,0.0,-0.1591,0.0225,8905.28,-6313000.0,0.0,0.0
568,MARI3,2.93,3.04,0.76,0.346,0.0,0.384,0.95,4.99,1.65,4.89,4.89,0.0694,0.1137,2.23,0.1067,0.25129999999999997,0.0,706711000.0,0.32,0.1189
569,MATD3,4.66,13.23,1.06,0.793,0.0161,0.339,2.42,4.16,-0.81,6.56,5.28,0.1907,0.0688,2.34,0.08810000000000001,0.0801,3502020.0,1681710000.0,0.75,0.4875
570,MBLY3,2.12,-2.69,0.5,0.418,0.0,0.298,0.91,-2.54,2.04,-3.18,-11.48,-0.1643,-0.1553,2.47,-0.156,-0.1864,877719.0,450033000.0,0.38,-0.0681
571,MDIA3,30.96,10.78,1.35,1.0,0.021,0.846,3.0,8.05,9.32,7.95,6.22,0.1243,0.0928,2.54,0.1447,0.12560000000000002,26212500.0,7752090000.0,0.27,0.1495
572,MDNE3,10.65,5.4,0.65,0.749,0.0,0.257,1.05,4.23,-1.5,4.73,4.55,0.1772,0.1387,2.28,0.0679,0.121,5381230.0,1384340000.0,0.26,0.365
573,MEAL3,1.24,-6.75,0.35,0.161,0.0,0.134,19.94,-3.67,-0.3,-7.05,4.88,-0.043899999999999995,-0.0239,1.04,-0.042300000000000004,-0.052300000000000006,1084360.0,1006160000.0,0.53,0.1448
574,MEDI3,11.55,-7.52,1.89,0.374,0.0,0.824,-10.02,-9.11,-3.31,-6.61,-6.61,-0.041100000000000005,-0.049800000000000004,0.79,-0.12300000000000001,-0.25129999999999997,0.0,426164000.0,0.02,0.13019999999999998
575,MELK3,3.56,6.44,0.59,0.65,0.1368,0.3,0.57,7.27,0.86,5.68,5.43,0.0894,0.14800000000000002,2.94,0.051500000000000004,0.09230000000000001,1436600.0,1236660000.0,0.23,0.24100000000000002
576,MEND5,6.5,-0.05,0.0,42.599,0.0,0.071,-0.02,-0.07,0.0,-13.24,-13.25,-626.757,-882.29,0.0,-1.0498,0.0851,0.0,-16317700000.0,-0.8,0.0129
577,MEND6,9.5,-0.07,-0.01,62.26,0.0,0.104,-0.03,-0.1,-0.01,-13.27,-13.28,-626.757,-882.29,0.0,-1.0498,0.0851,0.0,-16317700000.0,-0.8,0.0129
578,MERC3,15.28,39.88,1.12,0.0,0.0315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,246215000.0,0.0,-0.0969
579,MERC4,9.83,25.66,0.72,0.0,0.053899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,2044.81,246215000.0,0.0,-0.0969
580,MGEL3,25.0,7.28,4.28,0.157,0.0,0.194,0.87,2.06,-0.42,10.23,7.88,0.0762,0.0216,1.82,0.1047,0.5879,0.0,33770000.0,18.85,0.1535
581,MGEL4,13.97,4.07,2.39,0.088,0.0,0.108,0.48,1.15,-0.24,9.32,7.18,0.0762,0.0216,1.82,0.1047,0.5879,23801.9,33770000.0,18.85,0.1535
582,MGLU3,10.83,-14.29,0.73,0.217,0.0,0.215,1.93,9.92,-1.28,15.31,5.98,0.0218,-0.0152,1.26,0.030699999999999998,-0.051399999999999994,234728000.0,10899900000.0,0.61,0.1394
583,MILK33,0.3,-0.02,-0.02,0.077,0.0,0.029,-0.08,-0.04,-0.02,-0.11,-0.12,-1.768,-5.0808,0.5,-0.7091,1.6512,0.0,-516285000.0,-0.04,-0.4204
584,MILS3,10.48,9.17,1.69,1.82,0.0292,0.836,3.49,5.2,-7.55,6.13,4.21,0.35009999999999997,0.19879999999999998,2.55,0.22820000000000001,0.18469999999999998,16268000.0,1511550000.0,0.78,0.3342
585,MLAS3,1.91,-2.79,0.5,0.455,0.0,0.3,0.6,-2.71,0.92,-2.25,-2.55,-0.1677,-0.16329999999999997,3.18,-0.15789999999999998,-0.1787,4973510.0,3148560000.0,0.22,-0.11710000000000001
586,MLFT4,22.39,139.4,11.13,40.264,0.0,6.071,44.22,76.29,-29.21,79.12,61.62,0.5278,0.2916,2.26,0.1005,0.07980000000000001,0.0,4234480000.0,0.79,0.1449
587,MLPA12,40.0,0.01,0.0,0.001,0.0,0.002,0.0,0.01,0.0,-2.06,-2.06,0.0666,0.0892,0.0,0.0,0.45130000000000003,0.0,44578000.0,0.0,-0.0751
588,MLPA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08,-2.08,0.0666,0.0892,0.0,0.0,0.45130000000000003,0.0,44578000.0,0.0,-0.0751
589,MLPA4,45.0,0.01,0.0,0.001,0.0,0.003,0.0,0.01,0.0,-2.06,-2.06,0.0666,0.0892,0.0,0.0,0.45130000000000003,0.0,44578000.0,0.0,-0.0751
590,MMAQ3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,266382000.0,0.83,0.2332
591,MMAQ4,200.06,0.0,0.03,0.0,0.0,0.016,0.05,0.0,0.05,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,266382000.0,0.83,0.2332
592,MMXM3,14.0,-2.17,-0.11,0.0,0.0,0.71,-0.1,4.7,-0.09,18.64,18.64,0.0,0.0,0.01,0.2593,0.049699999999999994,0.0,-842661000.0,-0.32,-0.2851
593,MNDL3,11.35,-14.46,0.74,0.13,0.0,0.083,-0.67,1.2,-0.16,5.71,4.89,0.10830000000000001,-0.009000000000000001,0.75,0.0741,-0.0513,19545.3,151932000.0,2.8,0.16620000000000001
594,MNDL4,0.38,-0.48,0.02,0.004,0.0,0.003,-0.02,0.04,-0.01,4.55,3.9,0.10830000000000001,-0.009000000000000001,0.75,0.0741,-0.0513,0.0,151932000.0,2.8,0.16620000000000001
595,MNPR3,11.1,6.44,-0.25,0.216,0.0,0.233,-0.21,1.49,-0.17,1.49,1.23,0.145,0.0335,0.34,0.1653,-0.0388,50134.8,-315013000.0,0.0,0.1253
596,MNPR4,4.63,2.69,-0.1,0.09,0.0,0.097,-0.09,0.62,-0.07,0.62,0.51,0.145,0.0335,0.34,0.1653,-0.0388,0.0,-315013000.0,0.0,0.1253
597,MNSA3,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0815,-3.6266000000000003,3.63,-0.135,1.4569999999999999,0.0,-9105000.0,-6.52,-0.4111
598,MNSA4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0815,-3.6266000000000003,3.63,-0.135,1.4569999999999999,0.0,-9105000.0,-6.52,-0.4111
599,MOAR3,398.0,5.28,3.08,0.0,0.0746,1.613,3.8,-194.69,30.23,-159.3,-164.0,0.0,0.0,5.04,-0.0171,0.5843,18363.4,1581850000.0,0.42,-0.9945
600,MODL11,8.46,-21.05,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0817,0.0,1154890000.0,0.0,-0.6236999999999999
601,MODL3,3.08,-22.99,1.88,0.0,0.0070999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0817,0.0,1154890000.0,0.0,-0.6236999999999999
602,MODL4,2.72,-20.3,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0817,0.0,1154890000.0,0.0,-0.6236999999999999
603,MOSI3,8.24,32.29,1.56,4.761,0.0,1.453,1.89,89.69,1.9,42.98,24.91,0.053099999999999994,0.1475,13.3,0.0812,0.0482,0.0,670337000.0,0.0,0.0
604,MOVI3,5.94,-3.45,0.86,0.202,0.0,0.082,-1.5,1.29,-0.12,9.08,3.82,0.1563,-0.058499999999999996,0.82,0.08839999999999999,-0.248,26826100.0,2513820000.0,6.44,0.3396
605,MPLU3,26.8,12.2,17.37,6.877,0.0,2.676,50.65,10.34,66.01,7.71,7.28,0.6652,0.5637,1.06,1.2956999999999999,1.4240000000000002,0.0,250279000.0,0.0,-0.1888
606,MRFG3,11.25,-12.76,1.43,0.079,0.0,0.08,0.93,4.78,-0.19,21.02,5.17,0.0166,-0.0143,1.27,0.0232,-0.1121,81049900.0,7327730000.0,7.69,0.2883
607,MRSA3B,29.5,0.0,1.49,0.0,0.0,0.564,7.77,0.0,-1.47,0.0,0.0,0.0,0.0,1.44,0.0,0.0,4214.72,6701670000.0,0.99,0.20679999999999998
608,MRSA3B,29.5,0.0,1.49,0.0,0.0,0.564,7.77,0.0,-1.47,0.0,0.0,0.0,0.0,1.44,0.0,0.0,4214.72,6701670000.0,0.99,0.20679999999999998
609,MRSA5B,27.16,0.0,1.37,0.0,0.0327,0.52,7.15,0.0,-1.35,0.0,0.0,0.0,0.0,1.44,0.0,0.0,1221.3,6701670000.0,0.99,0.20679999999999998
610,MRSA5B,27.16,0.0,1.37,0.0,0.0327,0.52,7.15,0.0,-1.35,0.0,0.0,0.0,0.0,1.44,0.0,0.0,1221.3,6701670000.0,0.99,0.20679999999999998
611,MRSA6B,28.5,0.0,1.44,0.0,0.031200000000000002,0.545,7.51,0.0,-1.42,0.0,0.0,0.0,0.0,1.44,0.0,0.0,1887.63,6701670000.0,0.99,0.20679999999999998
612,MRSA6B,28.5,0.0,1.44,0.0,0.031200000000000002,0.545,7.51,0.0,-1.42,0.0,0.0,0.0,0.0,1.44,0.0,0.0,1887.63,6701670000.0,0.99,0.20679999999999998
613,MRSL3,3.3,10.25,0.99,0.883,0.0,0.658,2.37,16.32,6.28,17.74,9.5,0.0541,0.08689999999999999,2.78,0.0444,0.09630000000000001,0.0,375151000.0,0.16,0.071
614,MRSL4,3.05,9.48,0.91,0.816,0.0,0.609,2.19,15.08,5.8,16.51,8.83,0.0541,0.08689999999999999,2.78,0.0444,0.09630000000000001,0.0,375151000.0,0.16,0.071
615,MRVE3,6.63,-16.25,0.56,0.488,0.0,0.144,0.63,9.77,-0.62,29.39,21.46,0.0499,-0.0297,1.92,0.0155,-0.0347,72844700.0,6617040000.0,1.22,0.04650000000000001
616,MSAN3,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.06269999999999999,0.0242,1.18,0.11779999999999999,0.11810000000000001,0.0,2533030000.0,0.39,1.0134999999999998
617,MSAN4,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.06269999999999999,0.0242,1.18,0.11779999999999999,0.11810000000000001,0.0,2533030000.0,0.39,1.0134999999999998
618,MSPA3,43.0,30.24,0.33,1.65,0.0067,0.192,5.09,-18.49,-0.59,-26.12,21.13,-0.08929999999999999,0.0546,1.68,-0.0109,0.0109,0.0,831884000.0,0.2,0.1325
619,MSPA4,37.0,26.02,0.28,1.42,0.0086,0.165,4.38,-15.91,-0.51,-23.54,19.04,-0.08929999999999999,0.0546,1.68,-0.0109,0.0109,0.0,831884000.0,0.2,0.1325
620,MTBR3,0.99,3.84,0.66,0.128,0.0,0.166,5.73,1.83,-2.86,1.23,1.02,0.0702,0.0336,1.04,0.23079999999999998,0.17309999999999998,0.0,2239720000.0,0.6,0.0848
621,MTBR4,1.05,4.07,0.7,0.136,0.0,0.176,6.08,1.94,-3.04,1.34,1.11,0.0702,0.0336,1.04,0.23079999999999998,0.17309999999999998,0.0,2239720000.0,0.6,0.0848
622,MTIG3,5.21,-11.22,-81.36,12.686,0.0,8.36,-11.54,-21.36,-9.97,-22.62,-24.76,-0.5938,-1.1309,0.27,-0.478,7.2528,0.0,-7835380.0,-4.95,-0.26539999999999997
623,MTIG4,23.0,-49.52,-359.15,56.001,0.0,36.906,-50.93,-94.31,-44.0,-95.57,-104.6,-0.5938,-1.1309,0.27,-0.478,7.2528,0.0,-7835380.0,-4.95,-0.26539999999999997
624,MTRE3,3.36,4.9,0.36,0.362,0.1664,0.173,0.36,12.23,0.64,26.06,18.24,0.0296,0.07980000000000001,2.61,0.0159,0.07429999999999999,5299910.0,976796000.0,0.6,0.3335
625,MTSA4,41.0,5.09,0.81,0.704,0.0644,0.653,1.08,9.59,1.12,6.15,4.55,0.07339999999999999,0.1383,4.52,0.1016,0.1585,414425.0,446721000.0,0.07,0.19269999999999998
626,MULT3,22.2,12.35,1.88,6.386,0.0461,1.153,21.68,8.98,-5.19,10.32,9.45,0.7112,0.5173,1.48,0.1448,0.1524,139640000.0,7087620000.0,0.44,0.1623
627,MWET3,9.16,-0.76,-3.52,0.072,0.0,0.06,-1.54,-1.72,-0.1,-10.03,-16.68,-0.04190000000000001,-0.0946,0.92,-0.0379,4.6079,21.3,-5361000.0,-17.04,0.15439999999999998
628,MWET4,8.57,-0.71,-3.29,0.068,0.0,0.056,-1.44,-1.61,-0.09,-9.91,-16.49,-0.04190000000000001,-0.0946,0.92,-0.0379,4.6079,63694.9,-5361000.0,-17.04,0.15439999999999998
629,MYPK3,11.43,18.05,0.46,0.121,0.0077,0.122,0.69,2.2,-0.58,7.15,4.52,0.055,0.0129,1.54,0.07980000000000001,0.025699999999999997,15806100.0,3787200000.0,1.65,0.1435
630,MYPK4,31.79,50.21,1.29,0.336,0.0,0.339,1.92,6.11,-1.61,11.07,7.0,0.055,0.0129,1.54,0.07980000000000001,0.025699999999999997,0.0,3787200000.0,1.65,0.1435
631,NAFG3,64.37,11.8,2.76,1.102,0.0,1.153,3.2,7.35,60.48,8.64,6.57,0.1499,0.0928,2.52,0.19920000000000002,0.23420000000000002,0.0,316392000.0,0.81,0.0949
632,NAFG4,64.42,11.81,2.76,1.103,0.0,1.154,3.2,7.36,60.52,8.65,6.57,0.1499,0.0928,2.52,0.19920000000000002,0.23420000000000002,0.0,316392000.0,0.81,0.0949
633,NATU3,36.86,0.0,3.6,0.0,0.0,1.81,4.78,0.0,10.46,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,9423250000.0,0.26,0.1263
634,NEOE3,18.16,5.04,0.71,0.501,0.0542,0.216,9.15,2.46,-0.47,6.92,5.32,0.20309999999999997,0.1008,1.11,0.09939999999999999,0.1413,19143500.0,30954000000.0,1.55,0.12140000000000001
635,NETC3,38.5,123.1,2.12,1.29,0.0,1.074,-33.02,10.82,-2.96,12.15,5.27,0.1193,0.0155,0.8,0.10949999999999999,0.0172,0.0,6812390000.0,0.28,0.6663
636,NETC4,40.0,127.89,2.2,1.34,0.0,1.116,-34.31,11.24,-3.08,12.57,5.45,0.1193,0.0155,0.8,0.10949999999999999,0.0172,0.0,6812390000.0,0.28,0.6663
637,NEXP3,4.15,-0.25,-0.07,0.099,0.0,0.097,-0.18,-0.38,-0.05,-2.31,-3.87,-0.26239999999999997,-0.38380000000000003,0.42,-0.281,0.28850000000000003,7168.02,-150205000.0,-0.42,-0.013500000000000002
638,NGRD3,0.79,-44.1,0.42,0.708,0.0069,0.291,1.19,216.72,3.26,45.83,1.58,0.0033,-0.020499999999999997,2.6,0.0019,-0.0095,665374.0,448125000.0,0.05,0.0662
639,NINJ3,4.49,26.28,0.81,3.655,0.0,0.758,0.83,-12.58,0.83,2.67,3.18,-0.29059999999999997,0.1391,17.48,-1.0979,0.030699999999999998,263728.0,283323000.0,0.0,-0.0037
640,NORD3,6.85,-4.89,-0.27,17.62,0.0,2.367,-0.27,-164.33,-0.25,-301.74,-301.74,-0.1072,-3.6037,0.01,-0.0146,0.0562,5536.74,-165175000.0,-0.23,0.1168
641,NTCO3,15.11,7.79,0.95,0.821,0.049,0.503,4.29,10.92,-4.79,11.09,6.55,0.07519999999999999,0.10550000000000001,1.47,0.063,0.1219,110491000.0,22070700000.0,0.28,-0.12689999999999999
642,NUTR3,5.21,12.59,1.86,0.341,0.0,0.611,2.17,6.03,101.92,6.6,6.13,0.0565,0.027000000000000003,1.71,0.1305,0.1478,49078.8,37072000.0,0.2,0.3293
643,ODER3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507709000.0,0.0,0.1681
644,ODER4,100.0,12.4,2.22,1.451,0.023399999999999997,1.234,2.26,9.72,4.55,11.25,10.02,0.1493,0.11699999999999999,4.22,0.1458,0.17920000000000003,0.0,507709000.0,0.5,0.1681
645,ODPV3,11.54,12.3,4.29,2.963,0.0922,2.737,-110.11,10.84,-33.06,9.93,9.13,0.2733,0.24100000000000002,0.92,0.33340000000000003,0.3492,16459500.0,1484650000.0,0.0,0.046900000000000004
646,OFSA3,18.5,-29.6,1.42,1.046,0.0332,0.773,1.68,8.41,4.11,9.01,6.86,0.1244,-0.0353,3.48,0.1379,-0.048,84685.0,702794000.0,0.6,0.11
647,OGXP3,1.63,-2.15,-0.98,0.0,0.0,0.925,0.0,-16.46,0.0,-16.46,-16.46,0.0,0.0,0.0,0.0,0.45530000000000004,0.0,-53901000.0,0.0,0.0
648,OIBR3,4.34,-0.04,-0.01,0.031,0.0,0.011,-0.03,-0.08,-0.01,-7.17,-12.18,-0.3815,-0.7406999999999999,0.48,-0.1907,0.2309,4149570.0,-30105000000.0,-0.91,-0.09949999999999999
649,OIBR4,12.6,-0.12,-0.03,0.089,0.0,0.032,-0.1,-0.23,-0.02,-7.32,-12.43,-0.3815,-0.7406999999999999,0.48,-0.1907,0.2309,97613.3,-30105000000.0,-0.91,-0.09949999999999999
650,OMGE3,27.57,-32.03,1.59,3.419,0.0,0.543,10.86,12.56,-1.06,24.34,13.09,0.2723,-0.1112,1.72,0.046900000000000004,-0.0495,0.0,3483570000.0,1.66,0.3873
651,ONCO3,5.8,14.5,1.33,0.541,0.0,0.313,4.39,4.23,-0.79,10.27,7.52,0.1278,0.0516,1.28,0.08539999999999999,0.0917,47697500.0,2300490000.0,2.08,0.39740000000000003
652,OPCT3,6.5,13.0,1.56,0.72,0.0,0.529,10.54,5.07,-1.48,8.82,4.53,0.1422,0.0554,1.2,0.12269999999999999,0.1201,4570730.0,832641000.0,1.43,0.4154
653,ORVR3,37.5,28.09,4.25,3.905,0.0,1.354,9.72,18.56,-3.38,23.74,12.88,0.2104,0.1551,2.2,0.08470000000000001,0.1514,14749800.0,731548000.0,1.55,0.3006
654,OSAO4,8.98,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-34.4,6.06,-0.0086,0.0109,0.47,-0.013999999999999999,-0.024,0.0,-439298000.0,-0.72,0.2711
655,OSXB3,3.89,-0.01,0.0,0.236,0.0,0.005,-0.01,-0.54,0.0,-274.4,-459.3,-0.4357,-22.596999999999998,0.01,-0.0098,0.17,19815.8,-6992210000.0,-0.89,0.5307
656,PALF11,125.0,0.07,0.04,0.007,0.0,0.005,0.2,0.04,-0.01,2.69,2.37,0.2095,0.1025,1.09,0.17129999999999998,0.5658,0.0,2718530000.0,3.82,0.0926
