,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
427,FLRY3,14.21,15.62,1.5,1.089,0.040999999999999995,0.665,6.38,7.44,-2.24,10.61,6.24,0.1464,0.0694,1.68,0.10279999999999999,0.09609999999999999,38715900.0,5183220000.0,0.81,0.2422
428,FRAS3,17.7,12.08,2.43,1.409,0.0342,1.148,3.15,8.64,12.96,8.38,6.77,0.1631,0.1201,2.48,0.21600000000000003,0.201,4323260.0,1968450000.0,0.56,0.2554
429,FRAS4,5.79,3.95,0.79,0.461,0.0,0.375,1.03,2.83,4.24,2.57,2.07,0.1631,0.1201,2.48,0.21600000000000003,0.201,0.0,1968450000.0,0.56,0.2554
430,FRIO3,285.0,85.99,5.28,0.928,0.0,0.986,14.18,18.45,-14.23,24.34,14.94,0.050300000000000004,0.0192,1.11,0.078,0.061399999999999996,374571.0,339515000.0,2.16,0.0787
431,FRTA3,1.31,-0.49,-0.04,0.357,0.0,0.088,-0.03,-0.68,-0.03,-17.74,-18.74,-0.5265,-0.7229000000000001,0.03,-0.1802,0.0717,0.0,-75884000.0,-0.89,-0.06509999999999999
432,FTRX3,0.13,-0.15,-0.02,0.206,0.0,0.023,-0.04,-0.19,-0.01,-1.77,-2.27,-1.0622,-1.3883,0.06,-0.1199,0.135,0.0,-154535000.0,-0.16,-0.3125
433,FTRX4,0.11,-0.13,-0.02,0.174,0.0,0.019,-0.03,-0.16,-0.01,-1.74,-2.24,-1.0622,-1.3883,0.06,-0.1199,0.135,0.0,-154535000.0,-0.16,-0.3125
434,GAFP3,0.12,-0.04,-0.01,0.372,0.0,0.015,-0.09,-0.48,-0.01,-46.92,-46.92,-0.7757,-9.8128,0.51,-0.0321,0.38789999999999997,0.0,-80712500.0,-1.43,-0.5809000000000001
435,GAFP4,0.05,-0.02,-0.01,0.155,0.0,0.006,-0.04,-0.2,0.0,-46.65,-46.65,-0.7757,-9.8128,0.51,-0.0321,0.38789999999999997,0.0,-80712500.0,-1.43,-0.5809000000000001
436,GALO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1398,-1.8458,0.0,0.3937,0.0762,0.0,-60607000.0,0.0,-0.2897
