,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,L/P,Ordem L/P,Ordem ROE,Score,PapelF
83,MULT3,22.2,12.35,1.88,6.386,0.0461,1.153,21.68,8.98,-5.19,10.32,9.45,0.7112,0.5173,1.48,0.1448,0.1524,139640000.0,7087620000.0,0.44,0.1623,0.08097165991902834,99,74,173,MULT
84,PORT3,14.63,15.29,2.62,2.577,0.0547,1.083,50.34,9.61,-2.61,13.12,9.18,0.2683,0.17010000000000003,1.14,0.12300000000000001,0.1714,12767000.0,2454870000.0,1.1,-0.0323,0.06540222367560497,117,61,178,PORT
85,MDIA3,30.96,10.78,1.35,1.0,0.021,0.846,3.0,8.05,9.32,7.95,6.22,0.1243,0.0928,2.54,0.1447,0.12560000000000002,26212500.0,7752090000.0,0.27,0.1495,0.0927643784786642,87,91,178,MDIA
86,TASA4,10.93,10.15,1.23,0.779,0.0369,0.636,3.73,7.77,8.89,9.34,7.76,0.1002,0.0767,1.45,0.098,0.1209,4626650.0,1128000000.0,0.47,0.12689999999999999,0.09852216748768472,79,100,179,TASA
87,RAPT4,10.15,9.79,1.16,0.31,0.057300000000000004,0.247,0.89,2.59,-2.29,4.93,4.0,0.12,0.0591,1.89,0.1364,0.11869999999999999,25162500.0,2875310000.0,2.09,0.23399999999999999,0.10214504596527069,77,103,180,RAPT
88,BBDC3,11.14,7.88,0.74,0.0,0.1231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09369999999999999,85562000.0,160563000000.0,0.0,-0.14679999999999999,0.12690355329949238,55,125,180,BBDC
89,GMAT3,7.15,12.93,1.79,0.558,0.0146,0.956,2.7,10.07,6.58,11.73,9.54,0.0555,0.0437,2.41,0.125,0.1386,29605500.0,8813800000.0,0.45,0.29059999999999997,0.07733952049497293,100,85,185,GMAT
90,SANB3,13.06,9.99,1.13,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,1531930.0,86735700000.0,0.0,-0.0199,0.10010010010010009,78,110,188,SANB
91,RADL3,25.8,42.19,7.3,1.261,0.0118,2.146,12.17,20.98,-17.88,22.13,12.25,0.0601,0.0308,1.43,0.1442,0.17300000000000001,157275000.0,6071650000.0,0.47,0.18059999999999998,0.023702299123014935,132,57,189,RADL
92,AGRO3,25.43,11.03,1.33,2.38,0.1263,0.782,4.2,13.92,-15.91,18.39,12.5,0.171,0.2158,2.04,0.06480000000000001,0.1209,5959570.0,1957410000.0,0.54,0.1174,0.09066183136899365,90,99,189,AGRO
93,DXCO3,6.6,8.99,0.85,0.712,0.0434,0.296,2.19,6.77,-0.94,12.66,5.04,0.1051,0.0817,1.7,0.0556,0.09449999999999999,20486800.0,6372670000.0,1.18,0.10710000000000001,0.11123470522803114,70,123,193,DXCO
94,TOTS3,29.83,23.99,3.85,3.933,0.0148,2.04,9.45,11.2,-32.49,10.66,9.04,0.35119999999999996,0.1697,2.36,0.2607,0.1603,126835000.0,4786840000.0,0.35,0.1924,0.041684035014589414,129,64,193,TOTS
95,ARZZ3,49.59,13.45,1.87,1.125,0.039,0.962,6.84,10.61,-61.53,11.58,7.99,0.106,0.08310000000000001,1.43,0.1157,0.1392,113416000.0,2940190000.0,0.37,0.3617,0.07434944237918216,111,84,195,ARZZ
